timestamp,gpu_util_pct,torch_alloc_mb,torch_reserved_mb,sys_mem_used_mb,sys_mem_total_mb
2026-05-18T03:28:26+0000,68,0.0,0.0,9010,122479
2026-05-18T03:28:41+0000,88,0.0,0.0,8887,122479
2026-05-18T03:28:56+0000,0,0.0,0.0,9020,122479
2026-05-18T03:29:11+0000,1,0.0,0.0,8838,122479
2026-05-18T03:29:26+0000,96,0.0,0.0,8805,122479
2026-05-18T03:29:41+0000,96,0.0,0.0,9014,122479
2026-05-18T03:29:56+0000,17,0.0,0.0,9002,122479
2026-05-18T03:30:12+0000,27,0.0,0.0,9692,122479
2026-05-18T03:30:27+0000,96,0.0,0.0,9617,122479
2026-05-18T03:30:42+0000,96,0.0,0.0,9028,122479
2026-05-18T03:30:57+0000,79,0.0,0.0,8898,122479
2026-05-18T03:31:12+0000,0,0.0,0.0,9303,122479
2026-05-18T03:31:27+0000,95,0.0,0.0,8970,122479
2026-05-18T03:31:42+0000,96,0.0,0.0,8954,122479
2026-05-18T03:31:57+0000,0,0.0,0.0,9676,122479
2026-05-18T03:32:12+0000,35,0.0,0.0,9657,122479
2026-05-18T03:32:27+0000,10,0.0,0.0,9019,122479
2026-05-18T03:32:42+0000,0,0.0,0.0,8946,122479
2026-05-18T03:32:57+0000,96,0.0,0.0,9109,122479
2026-05-18T03:33:12+0000,96,0.0,0.0,8966,122479
2026-05-18T03:33:27+0000,96,0.0,0.0,9835,122479
2026-05-18T03:33:42+0000,16,0.0,0.0,9736,122479
2026-05-18T03:33:57+0000,67,0.0,0.0,9126,122479
2026-05-18T03:34:12+0000,32,0.0,0.0,8996,122479
2026-05-18T03:34:27+0000,31,0.0,0.0,9194,122479
2026-05-18T03:34:42+0000,0,0.0,0.0,9027,122479
2026-05-18T03:34:57+0000,0,0.0,0.0,9439,122479
2026-05-18T03:35:12+0000,0,0.0,0.0,9667,122479
2026-05-18T03:35:27+0000,0,0.0,0.0,9651,122479
2026-05-18T03:35:43+0000,96,0.0,0.0,8974,122479
2026-05-18T03:35:58+0000,96,0.0,0.0,8953,122479
2026-05-18T03:36:13+0000,0,0.0,0.0,9005,122479
2026-05-18T03:36:28+0000,95,0.0,0.0,8947,122479
