timestamp,gpu_util_pct,torch_alloc_mb,torch_reserved_mb,sys_mem_used_mb,sys_mem_total_mb
2026-05-18T00:36:59+0000,96,0.0,0.0,10404,122479
2026-05-18T00:37:29+0000,96,0.0,0.0,10769,122479
2026-05-18T00:37:59+0000,0,0.0,0.0,7143,122479
2026-05-18T00:38:29+0000,0,0.0,0.0,7247,122479
2026-05-18T00:38:59+0000,96,0.0,0.0,8439,122479
2026-05-18T00:39:29+0000,0,0.0,0.0,7167,122479
2026-05-18T00:39:59+0000,96,0.0,0.0,8790,122479
2026-05-18T00:40:29+0000,0,0.0,0.0,7345,122479
2026-05-18T00:40:59+0000,96,0.0,0.0,9128,122479
2026-05-18T00:41:30+0000,0,0.0,0.0,7298,122479
2026-05-18T00:42:00+0000,96,0.0,0.0,9319,122479
2026-05-18T00:42:30+0000,96,0.0,0.0,17074,122479
2026-05-18T00:43:00+0000,96,0.0,0.0,9292,122479
2026-05-18T00:43:30+0000,96,0.0,0.0,12804,122479
2026-05-18T00:44:00+0000,96,0.0,0.0,15271,122479
2026-05-18T00:44:30+0000,96,0.0,0.0,15761,122479
2026-05-18T00:45:01+0000,96,0.0,0.0,16034,122479
2026-05-18T00:45:31+0000,96,0.0,0.0,16609,122479
2026-05-18T00:46:01+0000,0,0.0,0.0,7423,122479
2026-05-18T00:46:31+0000,96,0.0,0.0,17071,122479
2026-05-18T00:47:01+0000,7,0.0,0.0,7468,122479
2026-05-18T00:47:31+0000,96,0.0,0.0,9599,122479
2026-05-18T00:48:01+0000,96,0.0,0.0,9629,122479
2026-05-18T00:48:31+0000,0,0.0,0.0,7431,122479
2026-05-18T00:49:01+0000,96,0.0,0.0,9650,122479
2026-05-18T00:49:31+0000,96,0.0,0.0,18431,122479
2026-05-18T00:50:01+0000,96,0.0,0.0,18433,122479
2026-05-18T00:50:31+0000,96,0.0,0.0,9764,122479
2026-05-18T00:51:02+0000,0,0.0,0.0,7463,122479
2026-05-18T00:51:32+0000,96,0.0,0.0,9779,122479
2026-05-18T00:52:02+0000,96,0.0,0.0,9962,122479
2026-05-18T00:52:32+0000,0,0.0,0.0,7395,122479
2026-05-18T00:53:02+0000,0,0.0,0.0,7410,122479
2026-05-18T00:53:32+0000,96,0.0,0.0,19253,122479
2026-05-18T00:54:02+0000,96,0.0,0.0,13798,122479
2026-05-18T00:54:32+0000,95,0.0,0.0,10417,122479
2026-05-18T00:55:02+0000,96,0.0,0.0,10539,122479
2026-05-18T00:55:32+0000,95,0.0,0.0,21546,122479
2026-05-18T00:56:02+0000,96,0.0,0.0,10555,122479
2026-05-18T00:56:32+0000,96,0.0,0.0,10729,122479
2026-05-18T00:57:02+0000,0,0.0,0.0,7251,122479
2026-05-18T00:57:32+0000,0,0.0,0.0,4113,122479
2026-05-18T00:58:02+0000,0,0.0,0.0,4117,122479
